Age,Height,Prior Data Experience,Favorite Season,Book or movie?,Favorite Hobby,Fictional Character
28,64,Yes,Fall,Book,Reading,Eevee
30,71,Yes,Fall,Book,coding,Olaf
53,68,No,Fall,Book,Reading,The Abbot of Redwall Abbey
46,66,Yes,Spring,Book,Crafts,Myne from Ascendance of a Bookworm
29,70,No,Fall,Movie,Photography,Josephine March
20,73,No,Winter,Movie,"skate, snowboard","Mahadeva ""Highest of all gods"""
26,78,No,Winter,Movie,Camping,Snorlax
29,70,No,Summer,Movie,cycling,Galadriel
24,72,No,Winter,Book,reading,Monk
26,73,No,Spring,Movie,playing D&D,Fafrhd
60,74,Yes,Fall,Movie,gaming,Sherlock Holmes
78,77,No,Spring,Movie,Sniffing babies,The emperor in Star Wars
60,68,No,Fall,Movie,Bowling,Scooby Doo
24,72,No,Spring,Movie,Gaming,Homer Simpson
22,64,Yes,Summer,Book,Sewing,Princess Leia
29,64,Yes,Fall,Movie,Reading,Harry Potter
29,64,No,Winter,Book,Swimming,Legolas
23,61,No,Fall,Movie,Baking Bread,Ron Swanson
26,74,No,Winter,Book,Skiing,Nigel Thornberry
34,65,Yes,Fall,Movie,Thrifting,Daria
47,74 Inches,Yes,Spring,Book,Reading,James Bond
22,66,No,Summer,Movie,Hammocking,Iron Man
26,75,No,Winter,Movie,D&D,Rubeus Hagrid
28,64,Yes,Summer,Movie,playing video games,Mulan
22,70,No,Fall,Movie,Songwriting,Sherlock Holmes
35,67,No,Fall,Movie,Strength Training,Aragorn
17,76,No,Summer,Movie,Guitar,The Flash?
39,62,Yes,Fall,Movie,Fishing,Harry Potter
41,62,No,Fall,Book,playing the piano,Hermione Granger
25,66,No,Winter,Movie,Skiing,Morty
51,68,Yes,Summer,Movie,Board Games,Gandalf
24,69 inches,No,Summer,Book,scrapbooking,Moana
39,66,No,Spring,Book,Gardening,Samuel Hamilton from East of Eden
22,68,No,Fall,Movie,Skiing,Pam Beesly
23,61,No,Fall,Book,art,America Chavez
42,68,No,Summer,Book,Crafting,Edward Scissorhands
25,72,Yes,Fall,Movie,Billiards,Aragorn
33,57,Yes,Winter,Book,Skiing,Ginny Weasley
56,61,Yes,Spring,Movie,Organizing,Goofy
30,72,Yes,Fall,Movie,Reading,The Hulk
31,68,No,Fall,Movie,Cars,The Flash
18,69.1,No,Winter,Movie,watch movies FBI files,Jack Sparrow
37,72,No,Fall,Movie,Golf,Batman
35,65,No,Summer,Book,football,company manager
50,62,Yes,Spring,Book,reading,Hermione Granger
21,68,No,Summer,Movie,volleyball,elizabeth bennet
41,71,No,Spring,Movie,Water skiing,Thor
39,64,No,Winter,Movie,skiing,Wings of Fire Dragon
23,64,No,Fall,Book,Baking,Luisa from Encanto
28,65,No,Winter,Movie,soccer,no one
24,63,No,Fall,Book,Reading,Wanda
32,5,No,Summer,Movie,hicking,me
58,61,Yes,Spring,Book,Reading,Wonder Woman
25,71,No,Spring,Movie,Golfing,Iron Man
48,72 in,No,Spring,Movie,coachung,thor
20,70 inches,No,Spring,Movie,Shooting,Bugs Bunny
18,68,No,Fall,Book,Water Skiing,Percy Jackson
17,67,Yes,Summer,Book,Coding,Spike
28,64 inches,No,Fall,Book,I love to do puzzles,Snoopy
21,69,No,Summer,Movie,Video Games,Spider Man
21,73,Yes,Spring,Movie,Lacrosse,Rocky
46,70,Yes,Summer,Book,Woodworking,Old Man Parker
29,70,No,Fall,Movie,Volleyball,One of Kahleesi's dragons.
29,65,Yes,Fall,Book,pickleball,harry potter
26,66,No,Fall,Movie,Gaming,Nahobino
24,64 inches,No,Fall,Movie,Rock Climbing,Frankie Bergstein
29,68 in,No,Fall,Book,macrame,kim possible
32,67,No,Fall,Book,Reading,Elizabeth Bennett
29,70,No,Fall,Movie,Volleyball,Kahleesi's Dragon
26,70,No,Fall,Movie,Shooting hoops,Iron Man
18,"69""",No,Fall,Movie,Researching stuff,Shaggy from Scooby Doo
36,60,Yes,Winter,Movie,Running,Iron Man
54,65,No,Spring,Movie,"thrift shopping, estate sales",Christopher Robin
32,70,No,Winter,Book,board games,Sam Vimes
46,66,Yes,Spring,Book,beading,The Doctor
27,70,No,Spring,Movie,Snowboarding,Spider Man
18,74,No,Fall,Movie,Playing guitar,Toothless from How to Train Your Dragon
22,70,No,Summer,Book,Drawing,Yoshi
21,69,Yes,Summer,Movie,Hiking,Probably Garfield
27,73,Yes,Summer,Book,Guitar,ODST
57,65,No,Fall,Movie,Time with family,Mulan
23,67,No,Summer,Book,Spending time outdoors or driving,Fallon Carington
18,64 in,No,Winter,Book,reading,Jesus (just kidding)
27,67,No,Fall,Movie,Going to concerts,A Pokémon trainer
29,70,No,Fall,Movie,Card games,Halt from the Ranger's Apprentice series
40,72,No,Summer,Book,Flying RC Aircraft,Charlie Brown
58,67,No,Fall,Book,Bike Riding,Hayduke
14,68,Yes,Fall,Book,Reading,Sam Temple (Gone)
17,63,No,Spring,Movie,Shopping,Anna
