Company,TypeName,Inches,screen_resolution,has_ips_panel,is_touchscreen,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,gpu_brand,gpu_name,OpSys,Weight,Price,total_pixels
,Ultrabook,13.3,,1,0,1600,2560,Intel,Core i5,2.3,8,SSD,128,Intel, Iris Plus Graphics 640,,1.4,71379,4096000
Apple,Ultrabook,13.3,,0,0,900,1440,Intel,Core i5,1.8,8,,128,Intel, HD Graphics 6000,macos,1.3,47896,1296000
HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,,256,Intel, HD Graphics 620,,1.9,30636,2073600
Apple,Ultrabook,15.4,,1,0,1800,2880,Intel,Core i7,2.7,16,,512,AMD, Radeon Pro 455,macos,1.8,135195,5184000
Apple,Ultrabook,13.3,,1,0,1600,2560,Intel,Core i5,3.1,8,SSD,256,Intel, Iris Plus Graphics 650,macos,1.4,96096,4096000
acer,Notebook,15.6,,0,0,768,1366,AMD,A9-Series 9420,3,10,HDD,500,AMD, Radeon R5,windows,2.1,-21312,1049088
,Ultrabook,15.4,,1,0,1800,2880,Intel,Core i7,2.2,16,,256,Intel, Iris Pro Graphics,,2,114018,5184000
Apple,Ultrabook,13.3,,0,0,900,1440,Intel,Core i5,1.8,8,Flash Storage,256,Intel, HD Graphics 6000,macos,1.3,61736,1296000
,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,,512,Nvidia, GeForce MX150,,1.3,79654,2073600
Acer,Ultrabook,14,Full HD,1,0,1080,1920,Intel,Core i5,1.6,20,SSD,256,Intel, UHD Graphics 620,windows,1.6,41026,2073600
HP,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,4,,500,Intel, HD Graphics 620,,1.9,20987,1049088
hp,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,HDD,500,Intel, HD Graphics 520,,1.9,18381,2073600
Apple,Ultrabook,15.4,,1,0,1800,2880,Intel,Core i7,2.8,16,,256,AMD, Radeon Pro 555,macos,1.8,130002,5184000
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Itenl,Core i3,2,4,,256,AMD, Radeon R5 M430,windows,,26581,2073600
Apple,Ultrabook,12,,1,0,1440,2304,Intel,Core M,1.2,8,,256,Intel, HD Graphics 615,macos,0.9,67261,3317760
apple,Ultrabook,13.3,,1,0,1600,2560,Intel,Core i5,2.3,8,,256,Intel, Iris Plus Graphics 640,macos,1.4,80908,4096000
,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.7,8,,256,AMD, Radeon R5 M430,,2.2,39694,2073600
Apple,Ultrabook,15.4,,1,0,1800,2880,Ietnl,Core i7,2.9,16,,512,AMD, Radeon Pro 560,macos,,152274,5184000
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2.4,8,HDD,1024,Nvidia, GeForce 940MX,,2.2,26587,2073600
Dell,Ultrabook,13.3,Full HD,1,1,1080,1920,Intel,Core i5,1.6,8,,-128,Intel, UHD Graphics 620,windows,1.2,52161,2073600
Lenovo,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i5,2.5,20,Hybrid,128,Nvidia, GeForce GTX 1050,windows,2.5,53227,2073600
hp,Notebook,15.6,,0,0,,1366,AMD,E-Series E2-9000e,1.5,4,,500,AMD, Radeon R2,,1.9,-13746,1049088
